Timestamp,EventType,Data
1778157246.2654755,screenshot,screenshot_0000.png
1778157247.3820202,key_press,key=' '
1778157247.5266218,key_press,key=' '
1778157247.6821134,key_press,key=' '
1778157247.791586,key_press,key=' '
1778157247.9515672,key_press,key='#'
1778157248.0933876,key_press,key=' '
1778157248.2241101,key_press,key='S'
1778157248.3144395,key_press,key='t'
1778157248.3920267,key_press,key='e'
1778157248.5079281,key_press,key='p'
1778157248.6472678,key_press,key=' '
1778157248.7529602,key_press,key='1'
1778157248.839933,key_press,key=':'
1778157248.9595816,key_press,key=' '
1778157249.07676,key_press,key='C'
1778157249.1599863,key_press,key='h'
1778157249.3189964,key_press,key='e'
1778157249.414964,key_press,key='c'
1778157249.5231473,key_press,key='k'
1778157249.629991,key_press,key=' '
1778157249.7216933,key_press,key='c'
1778157249.790714,key_press,key='o'
1778157249.933934,key_press,key='n'
1778157250.0655937,key_press,key='f'
1778157250.1369457,key_press,key='i'
1778157250.2884512,key_press,key='g'
1778157250.3558314,key_press,key=' '
1778157250.5097246,key_press,key='p'
1778157250.652354,key_press,key='a'
1778157250.772347,key_press,key='r'
1778157250.8711154,key_press,key='a'
1778157250.95902,key_press,key='m'
1778157251.0304563,key_press,key='e'
1778157251.09997,key_press,key='t'
1778157251.1719446,key_press,key='e'
1778157251.309376,key_press,key='r'
1778157251.309376,screenshot,screenshot_0001.png
1778157251.918835,key_press,key=' '
1778157251.981286,key_press,key=' '
1778157252.061223,key_press,key=' '
1778157252.1507773,key_press,key=' '
1778157252.2349825,key_press,key='p'
1778157252.3369966,key_press,key='a'
1778157252.4926798,key_press,key='t'
1778157252.6312075,key_press,key='h'
1778157252.7095973,key_press,key=' '
1778157252.8052292,key_press,key='='
1778157252.9110272,key_press,key=' '
1778157253.0592072,key_press,key='o'
1778157253.1855228,key_press,key='s'
1778157253.3169131,key_press,key='.'
1778157253.466557,key_press,key='p'
1778157253.5755277,key_press,key='a'
1778157253.6449602,key_press,key='t'
1778157253.8025568,key_press,key='h'
1778157253.8996658,key_press,key='.'
1778157254.037077,key_press,key='j'
1778157254.1766493,key_press,key='o'
1778157254.236945,key_press,key='i'
1778157254.318372,key_press,key='n'
1778157254.4148188,key_press,key='('
1778157254.537879,key_press,key='''
1778157254.5978897,key_press,key='s'
1778157254.7268653,key_press,key='r'
1778157254.8762908,key_press,key='c'
1778157254.9650242,key_press,key='''
1778157255.1049826,key_press,"key=','"
1778157255.2384725,key_press,key=' '
1778157255.3041828,key_press,key='''
1778157255.411255,key_press,key='c'
1778157255.5172513,key_press,key='o'
1778157255.6410582,key_press,key='n'
1778157255.7890484,key_press,key='f'
1778157255.860773,key_press,key='i'
1778157256.0200145,key_press,key='g'
1778157256.1067457,key_press,key='.'
1778157256.2329378,key_press,key='j'
1778157256.3375514,key_press,key='s'
1778157256.3983064,key_press,key='o'
1778157256.5479643,key_press,key='n'
1778157256.7053597,key_press,key='''
1778157256.8449519,key_press,key=')'
1778157256.8449519,screenshot,screenshot_0002.png
1778157257.5028977,key_press,key=' '
1778157257.5708811,key_press,key=' '
1778157257.6869361,key_press,key=' '
1778157257.8395796,key_press,key=' '
1778157257.957458,key_press,key='i'
1778157258.0913055,key_press,key='f'
1778157258.191636,key_press,key=' '
1778157258.2930677,key_press,key='o'
1778157258.433078,key_press,key='s'
1778157258.5812438,key_press,key='.'
1778157258.7322917,key_press,key='p'
1778157258.841339,key_press,key='a'
1778157258.9430895,key_press,key='t'
1778157259.062535,key_press,key='h'
1778157259.1938045,key_press,key='.'
1778157259.3004065,key_press,key='e'
1778157259.4154828,key_press,key='x'
1778157259.5297751,key_press,key='i'
1778157259.6042187,key_press,key='s'
1778157259.6817772,key_press,key='t'
1778157259.7913673,key_press,key='s'
1778157259.922194,key_press,key='('
1778157260.019504,key_press,key='p'
1778157260.1640818,key_press,key='a'
1778157260.3098266,key_press,key='t'
1778157260.4436681,key_press,key='h'
1778157260.5804393,key_press,key=')'
1778157260.6736743,key_press,key=':'
1778157260.6736743,screenshot,screenshot_0003.png
1778157261.2701066,key_press,key=' '
